Date,Hour,Energy_Actual,Energy_Predicted,Energy_LowerBound
2025-05-16,17,88.64,136.49,170.23
2025-05-17,6,23.7,4.29,0.0
2025-05-17,7,116.0,74.84,56.93
2025-05-17,8,305.75,262.21,186.19
2025-05-17,9,584.54,353.88,329.48
2025-05-17,10,756.66,575.41,435.81
2025-05-17,11,745.05,664.56,509.0
2025-05-17,12,747.86,719.04,602.55
2025-05-17,13,620.06,670.32,598.11
2025-05-17,14,453.06,299.23,471.84
2025-05-17,15,264.56,226.25,399.26
2025-05-17,16,216.21,183.11,310.0
2025-05-17,17,57.51,85.61,169.77
2025-05-18,6,16.3,4.4,0.0
2025-05-18,7,106.21,91.81,57.18
2025-05-18,8,214.12,234.08,187.38
2025-05-18,9,505.54,376.36,318.95
2025-05-18,10,575.54,240.99,433.23
2025-05-18,11,873.15,357.88,525.93
2025-05-18,12,927.68,418.03,575.04
2025-05-18,13,826.89,646.06,573.77
2025-05-18,14,580.37,611.53,472.6
2025-05-18,15,452.77,317.97,400.57
2025-05-18,16,192.43,179.2,309.92
2025-05-18,17,32.15,85.1,170.2
2025-05-19,6,14.85,4.51,0.0
2025-05-19,7,76.87,74.85,57.41
2025-05-19,8,180.28,151.4,186.35
2025-05-19,9,244.82,392.43,329.19
2025-05-19,10,300.55,471.85,433.73
2025-05-19,11,318.64,423.96,525.63
2025-05-19,12,467.23,397.24,573.27
2025-05-19,13,377.65,385.88,572.14
2025-05-19,14,465.7,443.08,470.84
2025-05-19,15,93.01,487.78,392.04
2025-05-19,16,30.84,223.87,310.21
2025-05-19,17,12.33,93.9,171.22
2025-05-20,6,5.17,4.77,0.0
2025-05-20,7,21.55,108.37,57.68
2025-05-20,8,68.04,154.11,186.43
2025-05-20,9,142.95,214.67,329.02
2025-05-20,10,284.95,445.02,440.76
2025-05-20,11,310.69,681.03,536.55
2025-05-20,12,385.74,643.87,575.93
2025-05-20,13,703.07,502.8,575.99
2025-05-20,14,141.96,627.41,495.28
2025-05-20,15,88.54,441.78,392.48
2025-05-20,16,123.24,341.78,300.13
2025-05-20,17,132.58,85.79,170.55
2025-05-21,6,20.43,4.69,0.0
2025-05-21,7,113.04,78.15,58.04
2025-05-21,8,348.4,268.2,186.74
2025-05-21,9,368.49,378.76,329.23
2025-05-21,10,438.28,475.42,437.1
2025-05-21,11,356.58,631.22,528.74
2025-05-21,12,581.22,451.64,573.03
2025-05-21,13,537.49,563.57,583.28
2025-05-21,14,523.52,573.23,527.33
2025-05-21,15,222.23,417.31,392.59
2025-05-21,16,243.86,213.89,303.75
2025-05-21,17,150.88,86.11,172.21
2025-05-22,6,17.71,4.78,0.0
2025-05-22,7,114.38,76.37,57.98
2025-05-22,8,283.36,151.38,186.4
2025-05-22,9,442.76,218.32,329.04
2025-05-22,10,646.58,240.47,432.05
2025-05-22,11,779.07,336.87,523.77
2025-05-22,12,671.97,383.19,573.91
2025-05-22,13,605.28,463.0,572.18
2025-05-22,14,760.07,524.93,469.52
2025-05-22,15,587.69,228.9,399.31
2025-05-22,16,311.45,185.74,310.22
2025-05-22,17,103.89,86.46,171.47
2025-05-23,6,31.67,5.21,0.0
2025-05-23,7,227.34,103.98,59.26
2025-05-23,8,400.67,180.66,188.0
2025-05-23,9,598.63,211.76,328.9
2025-05-23,10,539.16,239.08,431.66
2025-05-23,11,800.06,336.04,523.45
2025-05-23,12,702.54,404.36,573.13
2025-05-23,13,355.37,352.24,571.51
2025-05-23,14,577.88,295.06,469.15
2025-05-23,15,371.32,225.06,399.37
2025-05-23,16,400.08,184.66,310.49
2025-05-23,17,160.16,87.43,171.86
2025-05-24,6,19.17,4.92,0.0
2025-05-24,7,87.05,76.11,58.22
2025-05-24,8,266.58,153.17,186.34
2025-05-24,9,315.05,217.9,328.81
2025-05-24,10,540.87,236.53,431.39
2025-05-24,11,412.34,343.71,522.71
2025-05-24,12,297.4,454.06,572.49
2025-05-24,13,389.19,661.46,572.02
2025-05-24,14,222.11,582.37,468.98
2025-05-24,15,306.93,257.99,399.32
2025-05-24,16,288.38,264.36,289.75
2025-05-24,17,140.94,113.46,172.33
2025-05-25,6,19.36,5.06,0.0
2025-05-25,7,124.75,107.1,58.43
2025-05-25,8,336.1,213.08,186.45
2025-05-25,9,265.55,411.46,328.63
2025-05-25,10,313.03,237.51,430.99
2025-05-25,11,403.73,338.74,522.48
